النحل يحتاج لزيارة مليوني زهرة لينتج كيلوجراماً واحداً من العسل	
البعوض لديه 47 سناً	
الحوت يمكنه حبس أنفاسه لمدة تصل لساعتين تحت الماء	
الصواعق تضرب الأرض 100 مرة في كل ثانية	
الثلج ليس أبيض اللون، بل هو شفاف	
الصوت ينتقل في الماء أسرع بـ 4 مرات من انتقاله في الهواء	
كوكب المريخ يسمى الكوكب الأحمر بسبب كثرة أكسيد الحديد على سطحه	
الزلازل تجعل الوقت يمر أسرع (بأجزاء من المليار من الثانية)	
الرمال تحت المجهر تبدو كأحجار كريمة ملونة	
الأظافر تنمو في اليد التي تستخدمها أكثر بشكل أسرع	
الرجال يرمشون بعينهم أقل من النساء بنسبة 50%	
المعدن الوحيد الذي يكون سائلاً في درجة حرارة الغرفة هو الزئبق	
غاز الهيدروجين هو العنصر الأكثر وفرة في الكون	
الورق النقدي ليس مصنوعاً من الورق، بل من القطن والكتان	
الملح كان يستخدم قديماً كعملة للتبادل التجاري	
أذكى حيوان في العالم بعد الإنسان هو الدلفين	
الأخطبوط يمتلك تسعة عقول (واحد رئيسي وثمانية في أذرعه)	
الباندا العملاقة تقضي 12 ساعة يومياً في أكل الخيزران	
البطريق يمكنه القفز لارتفاع مترين في الهواء	
جلد النمر مخطط تماماً مثل فرائه	
لسان الكلب يساعده على تبريد جسمه لأنه لا يفرز العرق مثل البشر	
الفراشات لا تعيش طويلاً، أغلبها يعيش لأسبوعين فقط	
البعوضة الأنثى هي فقط من تلدغ البشر لتغذية بيضها	
جسم الإنسان يحتوي على حديد يكفي لصنع مسمار صغير	
العقل البشري يعمل بطاقة كهربائية تكفي لإضاءة مصباح صغير	
الكبد هو العضو الوحيد في جسم الإنسان الذي يمكنه إعادة بناء نفسه	
الهيكل العظمي للطفل يحتوي على عظام أكثر من الشخص البالغ	
السكر كان يعتبر من التوابل الغالية جداً في العصور الوسطى	
البرازيل سميت بهذا الاسم نسبة لشجرة تنمو هناك	
القارة القطبية الجنوبية هي المكان الوحيد في العالم الذي لا يوجد فيه نمل	
